segment,state,expected_time_seconds_PURCHASE,expected_time_seconds_DROP
category_1051,ADD_TO_CART,648.3659521203131,127.18590001159495
category_1051,START,1637.7868193434133,101.22083702846653
category_1051,VIEW,1230.700077318533,33.49309905143375
category_1483,ADD_TO_CART,636.5608144321142,110.04160137365821
category_1483,START,1448.1983529672889,88.39131450042139
category_1483,VIEW,1099.2940338863098,29.09029975104201
category_491,ADD_TO_CART,480.1470613207547,106.67850541308148
category_491,START,1137.232170788995,90.12036100929258
category_491,VIEW,837.566465408805,31.434766094542482
category_959,ADD_TO_CART,637.4741841156765,144.06115089077088
category_959,START,1701.728834567568,122.17262635930366
category_959,VIEW,1267.5171541364543,44.9763331913034
category_342,ADD_TO_CART,592.6511043788751,135.4080311479414
category_342,START,1466.3233695331114,106.8382034541872
category_342,VIEW,1115.014511846767,34.134293583644
